,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"beta_dist[Canha, Mark]",-3.298,0.611,-4.425,-2.155,0.006,0.008,11458.0,5760.0,1.0
"beta_dist[Carlson, Dylan]",-3.081,0.406,-3.86,-2.332,0.004,0.005,9157.0,5630.0,1.0
"beta_dist[Carpenter, Kerry]",-3.009,0.537,-3.996,-1.995,0.005,0.007,12171.0,5614.0,1.0
"beta_dist[Castro, Willi]",-1.897,0.336,-2.499,-1.263,0.003,0.004,11963.0,5475.0,1.0
"beta_dist[Chourio, Jackson]",-2.577,0.498,-3.589,-1.709,0.004,0.006,15159.0,6342.0,1.0
"beta_dist[Church, Nathan]",-2.867,0.641,-4.191,-1.737,0.005,0.009,14461.0,5469.0,1.0
"beta_dist[Clase, Jonatan]",-1.928,0.45,-2.761,-1.084,0.004,0.005,11469.0,6075.0,1.0
"beta_dist[Clemens, Kody]",-2.959,0.57,-4.032,-1.907,0.005,0.008,14074.0,5087.0,1.0
"beta_dist[Cole, Zach]",-2.476,0.587,-3.579,-1.357,0.005,0.008,16448.0,5231.0,1.0
"beta_dist[Collins, Isaac]",-3.148,0.363,-3.822,-2.467,0.003,0.004,11994.0,5517.0,1.0
"beta_dist[Conforto, Michael]",-2.576,0.305,-3.127,-1.993,0.003,0.004,12687.0,6536.0,1.0
"beta_dist[Conine, Griffin]",-2.958,0.504,-3.905,-2.014,0.005,0.006,11368.0,5983.0,1.0
"beta_dist[Cortes, Carlos]",-3.223,0.559,-4.245,-2.187,0.005,0.007,11939.0,6509.0,1.0
"beta_dist[Cowser, Colton]",-2.892,0.414,-3.707,-2.154,0.004,0.005,10275.0,6139.0,1.0
"beta_dist[Dezenzo, Zach]",-2.759,0.56,-3.872,-1.775,0.005,0.008,12968.0,4617.0,1.0
"beta_dist[De La Cruz, Bryan]",-2.923,0.599,-4.047,-1.781,0.005,0.008,14790.0,5358.0,1.0
"beta_dist[Domínguez, Jasson]",-2.883,0.332,-3.507,-2.264,0.003,0.004,10081.0,6299.0,1.0
"beta_dist[Donovan, Brendan]",-2.344,0.459,-3.216,-1.504,0.004,0.005,12428.0,5927.0,1.0
"beta_dist[Dubón, Mauricio]",-2.699,0.495,-3.6,-1.73,0.004,0.006,14646.0,6160.0,1.0
"beta_dist[Dunn, Blake]",-2.662,0.646,-3.878,-1.478,0.005,0.008,15667.0,6237.0,1.0
"beta_dist[Duran, Ezequiel]",-2.547,0.661,-3.805,-1.312,0.006,0.009,14037.0,5401.0,1.0
"beta_dist[Duran, Jarren]",-2.036,0.231,-2.478,-1.606,0.003,0.003,7979.0,5321.0,1.0
"beta_dist[Eaton, Nate]",-2.761,0.66,-3.952,-1.483,0.006,0.009,14405.0,5155.0,1.0
"beta_dist[Encarnacion, Jerar]",-3.069,0.628,-4.219,-1.856,0.006,0.008,12869.0,5365.0,1.0
"beta_dist[Espinal, Santiago]",-2.812,0.702,-4.118,-1.462,0.006,0.011,15638.0,4830.0,1.0
"beta_dist[Fairchild, Stuart]",-2.436,0.632,-3.652,-1.282,0.005,0.009,13586.0,5601.0,1.0
"beta_dist[Fermín, José]",-2.799,0.701,-4.149,-1.506,0.006,0.01,14360.0,4962.0,1.0
"beta_dist[Fernández, Yanquiel]",-3.181,0.664,-4.413,-1.937,0.006,0.009,13459.0,5046.0,1.0
"beta_dist[Fraley, Jake]",-3.141,0.548,-4.153,-2.122,0.005,0.007,11343.0,5503.0,1.0
"beta_dist[Frazier, Adam]",-3.067,0.396,-3.802,-2.308,0.004,0.004,9175.0,5414.0,1.0
"beta_dist[Freeman, Cody]",-2.624,0.648,-3.852,-1.391,0.005,0.009,14800.0,5071.0,1.0
"beta_dist[Garcia, Jhostynxon]",-2.739,0.684,-4.029,-1.476,0.006,0.009,14757.0,5646.0,1.0
"beta_dist[Gasper, Mickey]",-2.852,0.674,-4.062,-1.498,0.006,0.009,14432.0,5317.0,1.0
"beta_dist[Gonzalez, Oscar]",-2.452,0.588,-3.513,-1.343,0.005,0.007,14130.0,5958.0,1.0
"beta_dist[Greene, Riley]",-2.89,0.3,-3.449,-2.317,0.003,0.003,10879.0,6164.0,1.0
"beta_dist[Grichuk, Randal]",-3.136,0.535,-4.137,-2.141,0.005,0.007,12488.0,5607.0,1.0
"beta_dist[Gurriel Jr., Lourdes]",-2.581,0.291,-3.111,-2.044,0.003,0.003,11410.0,6305.0,1.0
"beta_dist[Haggerty, Sam]",-2.216,0.523,-3.213,-1.285,0.005,0.006,11537.0,5984.0,1.0
"beta_dist[Hampson, Garrett]",-2.903,0.636,-4.112,-1.706,0.005,0.009,14469.0,5168.0,1.0
"beta_dist[Happ, Ian]",-2.677,0.272,-3.188,-2.167,0.002,0.003,12300.0,5647.0,1.0
"beta_dist[Harris, Dustin]",-3.036,0.603,-4.158,-1.893,0.005,0.008,12303.0,5400.0,1.0
"beta_dist[Hassell III, Robert]",-2.843,0.658,-4.066,-1.602,0.005,0.009,15057.0,5121.0,1.0
"beta_dist[Hays, Austin]",-3.038,0.418,-3.825,-2.271,0.004,0.005,12046.0,5796.0,1.0
"beta_dist[Hernández, Enrique]",-2.967,0.572,-4.054,-1.903,0.005,0.007,13922.0,5799.0,1.0
"beta_dist[Hernández, Heriberto]",-3.085,0.483,-4.062,-2.236,0.005,0.006,10976.0,5936.0,1.0
"beta_dist[Herrera, Iván]",-2.825,0.629,-3.97,-1.618,0.006,0.008,12174.0,5611.0,1.0
"beta_dist[Heyward, Jason]",-3.151,0.54,-4.14,-2.108,0.005,0.007,11410.0,5586.0,1.0
"beta_dist[Hilliard, Sam]",-3.168,0.581,-4.221,-2.046,0.005,0.007,13144.0,5825.0,1.0
"beta_dist[Hummel, Cooper]",-2.607,0.484,-3.456,-1.643,0.004,0.006,12022.0,5597.0,1.0
"beta_dist[Hurtubise, Jacob]",-3.06,0.631,-4.211,-1.862,0.005,0.008,15234.0,5541.0,1.0
"beta_dist[Iglesias, Jose]",-2.5,0.648,-3.734,-1.28,0.006,0.009,13738.0,5301.0,1.0
"beta_dist[India, Jonathan]",-2.703,0.492,-3.676,-1.815,0.004,0.006,12535.0,5979.0,1.0
"beta_dist[Jankowski, Travis]",-2.597,0.643,-3.832,-1.406,0.005,0.009,14967.0,5680.0,1.0
"beta_dist[Joe, Connor]",-3.189,0.593,-4.309,-2.098,0.006,0.009,11475.0,5521.0,1.0
"beta_dist[Johnson, Bryce]",-3.089,0.618,-4.227,-1.907,0.005,0.008,13804.0,6054.0,1.0
"beta_dist[Johnson, Daniel]",-2.646,0.539,-3.696,-1.664,0.005,0.006,12337.0,5495.0,1.0
"beta_dist[Johnston, Troy]",-3.54,0.618,-4.678,-2.363,0.006,0.008,10339.0,5716.0,1.0
"beta_dist[Jones, Jahmai]",-2.829,0.703,-4.107,-1.445,0.006,0.009,15264.0,5377.0,1.0
"beta_dist[Jones, Nolan]",-2.878,0.509,-3.84,-1.957,0.005,0.006,11988.0,5917.0,1.0
"beta_dist[Julks, Corey]",-2.707,0.655,-3.973,-1.53,0.005,0.009,14309.0,5518.0,1.0
"beta_dist[Keirsey Jr., DaShawn]",-3.037,0.567,-4.069,-1.926,0.005,0.007,13276.0,6575.0,1.0
"beta_dist[Kelenic, Jarred]",-2.814,0.681,-4.073,-1.51,0.006,0.01,14837.0,5238.0,1.0
"beta_dist[Kemp, Otto]",-2.923,0.59,-4.01,-1.798,0.005,0.007,14365.0,5975.0,1.0
"beta_dist[Kepler, Max]",-3.179,0.377,-3.894,-2.491,0.004,0.004,10058.0,5739.0,1.0
"beta_dist[Kjerstad, Heston]",-2.744,0.498,-3.691,-1.82,0.004,0.006,12843.0,6156.0,1.0
"beta_dist[Kwan, Steven]",-2.332,0.235,-2.765,-1.886,0.002,0.003,11112.0,6226.0,1.0
"beta_dist[Langford, Wyatt]",-1.963,0.262,-2.467,-1.478,0.002,0.003,12669.0,6144.0,1.0
"beta_dist[Larnach, Trevor]",-2.677,0.447,-3.53,-1.842,0.004,0.005,13217.0,6078.0,1.0
"beta_dist[Laureano, Ramón]",-3.091,0.332,-3.741,-2.499,0.003,0.004,10686.0,6289.0,1.0
"beta_dist[Lile, Daylen]",-3.1,0.516,-4.043,-2.091,0.005,0.006,10285.0,6275.0,1.0
"beta_dist[Lockridge, Brandon]",-2.428,0.431,-3.253,-1.639,0.004,0.005,11377.0,5653.0,1.0
"beta_dist[Loftin, Nick]",-3.064,0.53,-4.058,-2.083,0.005,0.007,10920.0,5237.0,1.0
"beta_dist[Loperfido, Joey]",-2.783,0.454,-3.604,-1.895,0.004,0.005,13504.0,6040.0,1.0
"beta_dist[Lugo, Matthew]",-2.534,0.619,-3.707,-1.405,0.005,0.007,16415.0,6117.0,1.0
"beta_dist[Lukes, Nathan]",-2.707,0.459,-3.581,-1.871,0.004,0.005,13121.0,6334.0,1.0
"beta_dist[Lux, Gavin]",-2.832,0.422,-3.649,-2.069,0.004,0.005,11576.0,6155.0,1.0
"beta_dist[Malloy, Justyn-Henry]",-2.852,0.683,-4.108,-1.554,0.005,0.009,15505.0,5798.0,1.0
"beta_dist[Mangum, Jake]",-2.844,0.406,-3.63,-2.11,0.004,0.005,11749.0,5804.0,1.0
"beta_dist[Marsee, Jakob]",-3.431,0.585,-4.532,-2.347,0.005,0.007,11905.0,5646.0,1.0
"beta_dist[Marsh, Brandon]",-3.152,0.468,-3.996,-2.24,0.005,0.005,10316.0,5697.0,1.0
"beta_dist[Marte, Starling]",-2.779,0.585,-3.85,-1.643,0.005,0.008,15500.0,5459.0,1.0
"beta_dist[Martin, Austin]",-3.218,0.438,-4.033,-2.384,0.005,0.006,9018.0,5203.0,1.0
"beta_dist[Martini, Nick]",-2.799,0.696,-4.053,-1.431,0.006,0.009,15758.0,4925.0,1.0
"beta_dist[Massey, Michael]",-2.912,0.594,-3.97,-1.783,0.005,0.008,14699.0,5614.0,1.0
"beta_dist[Mastrobuoni, Miles]",-2.872,0.664,-4.125,-1.634,0.006,0.009,14193.0,5466.0,1.0
"beta_dist[Mateo, Jorge]",-2.809,0.71,-4.148,-1.511,0.006,0.01,14412.0,5467.0,1.0
"beta_dist[Matos, Luis]",-2.884,0.597,-3.993,-1.752,0.005,0.008,13228.0,5575.0,1.0
"beta_dist[McCarthy, Jake]",-3.306,0.482,-4.193,-2.391,0.004,0.006,11871.0,6087.0,1.0
"beta_dist[McCormick, Chas]",-3.128,0.664,-4.336,-1.835,0.006,0.009,12994.0,5235.0,1.0
"beta_dist[McCray, Grant]",-2.818,0.679,-4.058,-1.515,0.005,0.009,16256.0,5248.0,1.0
"beta_dist[McCutchen, Andrew]",-2.794,0.698,-4.056,-1.472,0.006,0.009,15017.0,5384.0,1.0
"beta_dist[McKinney, Billy]",-2.81,0.667,-4.076,-1.561,0.006,0.009,14548.0,5735.0,1.0
"beta_dist[McKinstry, Zach]",-2.72,0.532,-3.715,-1.709,0.005,0.006,12767.0,5748.0,1.0
"beta_dist[McNeil, Jeff]",-2.912,0.609,-4.067,-1.776,0.005,0.008,13591.0,5401.0,1.0
"beta_dist[Melendez, MJ]",-2.689,0.566,-3.739,-1.604,0.005,0.007,13946.0,5380.0,1.0
"beta_dist[Melton, Jacob]",-2.309,0.602,-3.466,-1.207,0.005,0.007,14909.0,6182.0,1.0
"beta_dist[Mesa Jr., Victor]",-2.735,0.637,-3.947,-1.556,0.005,0.008,13915.0,5392.0,1.0
"beta_dist[Misner, Kameron]",-2.753,0.667,-4.035,-1.513,0.006,0.01,13387.0,4996.0,1.0
"beta_dist[Moniak, Mickey]",-2.26,0.468,-3.167,-1.417,0.005,0.005,9137.0,6350.0,1.0
"beta_dist[Montes, Coco]",-2.8,0.694,-4.137,-1.509,0.006,0.01,14892.0,5046.0,1.0
"beta_dist[Morel, Christopher]",-3.01,0.441,-3.826,-2.182,0.004,0.005,11937.0,6291.0,1.0
"beta_dist[Myers, Dane]",-2.726,0.586,-3.816,-1.618,0.005,0.008,13500.0,5397.0,1.0
"beta_dist[Nimmo, Brandon]",-3.461,0.346,-4.1,-2.798,0.003,0.004,9898.0,6330.0,1.0
"beta_dist[Nootbaar, Lars]",-2.665,0.326,-3.262,-2.053,0.003,0.004,10980.0,6454.0,1.0
"beta_dist[O'Hearn, Ryan]",-2.548,0.661,-3.839,-1.334,0.006,0.009,14233.0,5186.0,1.0
"beta_dist[O'Neill, Tyler]",-2.66,0.635,-3.821,-1.429,0.005,0.009,14322.0,5221.0,1.0
"beta_dist[Ornelas, Tirso]",-2.84,0.663,-4.143,-1.645,0.006,0.01,14420.0,4939.0,1.0
"beta_dist[Osuna, Alejandro]",-2.446,0.459,-3.346,-1.624,0.004,0.005,15579.0,6281.0,1.0
"beta_dist[Outman, James]",-2.562,0.599,-3.657,-1.41,0.005,0.008,14569.0,6000.0,1.0
"beta_dist[Pages, Andy]",-2.629,0.416,-3.391,-1.85,0.004,0.005,11455.0,5886.0,1.0
"beta_dist[Palacios, Joshua]",-2.562,0.632,-3.76,-1.403,0.005,0.008,16878.0,5769.0,1.0
"beta_dist[Palacios, Richie]",-2.966,0.608,-4.059,-1.81,0.005,0.008,14739.0,5394.0,1.0
"beta_dist[Pham, Tommy]",-3.164,0.341,-3.803,-2.525,0.003,0.004,11300.0,5221.0,1.0
"beta_dist[Pillar, Kevin]",-2.894,0.661,-4.136,-1.66,0.005,0.009,15552.0,5567.0,1.0
"beta_dist[Profar, Jurickson]",-2.864,0.35,-3.497,-2.182,0.004,0.004,10091.0,5401.0,1.0
"beta_dist[Pérez, Wenceel]",-2.993,0.672,-4.311,-1.771,0.006,0.01,14733.0,5237.0,1.0
"beta_dist[Raley, Luke]",-2.857,0.683,-4.108,-1.533,0.006,0.01,11550.0,5185.0,1.0
"beta_dist[Ramos, Heliot]",-2.66,0.278,-3.171,-2.122,0.003,0.003,9580.0,6002.0,1.0
"beta_dist[Rave, John]",-2.182,0.478,-3.049,-1.232,0.004,0.006,13797.0,5859.0,1.0
"beta_dist[Refsnyder, Rob]",-3.334,0.63,-4.48,-2.123,0.006,0.008,11421.0,5253.0,1.0
"beta_dist[Rengifo, Luis]",-2.881,0.686,-4.134,-1.558,0.006,0.009,15433.0,5635.0,1.0
"beta_dist[Robertson, Will]",-2.645,0.401,-3.429,-1.912,0.004,0.005,12291.0,5243.0,1.0
"beta_dist[Roden, Alan]",-3.036,0.375,-3.731,-2.327,0.004,0.004,11159.0,5725.0,1.0
"beta_dist[Rojas, Josh]",-2.823,0.692,-4.066,-1.467,0.006,0.009,14279.0,5903.0,1.0
"beta_dist[Rooker, Brent]",-2.975,0.613,-4.095,-1.79,0.005,0.008,13376.0,5864.0,1.0
"beta_dist[Ruiz, Esteury]",-2.833,0.627,-4.082,-1.69,0.005,0.008,16090.0,5261.0,1.0
"beta_dist[Sanoja, Javier]",-2.353,0.481,-3.24,-1.452,0.004,0.006,12204.0,6062.0,1.0
"beta_dist[Santander, Anthony]",-1.546,0.542,-2.615,-0.597,0.005,0.007,11346.0,5262.0,1.0
"beta_dist[Schneemann, Daniel]",-2.966,0.664,-4.205,-1.731,0.006,0.009,14014.0,5422.0,1.0
"beta_dist[Schneider, Davis]",-3.404,0.467,-4.246,-2.478,0.004,0.005,11388.0,6479.0,1.0
"beta_dist[Schuemann, Max]",-2.746,0.671,-4.008,-1.511,0.006,0.009,12528.0,4352.0,1.0
"beta_dist[Schwarber, Kyle]",-3.098,0.564,-4.143,-2.05,0.005,0.008,11736.0,5379.0,1.0
"beta_dist[Scott II, Victor]",-2.953,0.677,-4.258,-1.698,0.006,0.009,14702.0,5738.0,1.0
"beta_dist[Sheets, Gavin]",-3.456,0.44,-4.276,-2.625,0.005,0.005,8422.0,5558.0,1.0
"beta_dist[Simon, Ronny]",-2.915,0.639,-4.17,-1.773,0.005,0.008,13867.0,5313.0,1.0
"beta_dist[Simpson, Chandler]",-2.59,0.398,-3.301,-1.805,0.004,0.004,10761.0,6340.0,1.0
"beta_dist[Slater, Austin]",-3.063,0.478,-4.001,-2.205,0.005,0.006,10898.0,5596.0,1.0
"beta_dist[Smith, Josh]",-3.077,0.592,-4.192,-1.99,0.005,0.008,13336.0,5710.0,1.0
"beta_dist[Soderstrom, Tyler]",-2.832,0.327,-3.438,-2.195,0.003,0.004,13344.0,6399.0,1.0
"beta_dist[Solak, Nick]",-3.003,0.658,-4.293,-1.813,0.006,0.01,13084.0,5665.0,1.0
"beta_dist[Sosa, Edmundo]",-2.575,0.636,-3.779,-1.419,0.006,0.008,13166.0,5652.0,1.0
"beta_dist[Springer, George]",-2.793,0.635,-3.99,-1.622,0.005,0.008,15151.0,5322.0,1.0
"beta_dist[Stanton, Giancarlo]",-2.521,0.604,-3.685,-1.388,0.005,0.008,13507.0,5833.0,1.0
"beta_dist[Steer, Spencer]",-2.503,0.527,-3.492,-1.52,0.005,0.006,12561.0,5905.0,1.0
"beta_dist[Stowers, Kyle]",-2.676,0.38,-3.38,-1.97,0.003,0.004,12339.0,6194.0,1.0
"beta_dist[Straw, Myles]",-0.179,0.139,-0.436,0.088,0.001,0.002,11553.0,4680.0,1.0
"beta_dist[Suwinski, Jack]",-2.801,0.527,-3.77,-1.788,0.005,0.007,11588.0,5852.0,1.0
"beta_dist[Suzuki, Seiya]",-3.173,0.574,-4.185,-2.038,0.005,0.007,11153.0,5192.0,1.0
"beta_dist[Sánchez, Jesús]",-3.775,0.493,-4.757,-2.894,0.005,0.006,8729.0,5417.0,1.0
"beta_dist[Tawa, Tim]",-2.879,0.625,-4.108,-1.737,0.005,0.009,14196.0,5403.0,1.0
"beta_dist[Taylor, Chris]",-2.974,0.475,-3.844,-2.077,0.005,0.006,10245.0,5903.0,1.0
"beta_dist[Taylor, Michael A.]",-2.969,0.482,-3.843,-2.044,0.004,0.006,11789.0,5909.0,1.0
"beta_dist[Taylor, Tyrone]",-2.826,0.642,-4.053,-1.649,0.005,0.009,15206.0,5556.0,1.0
"beta_dist[Thomas, Colby]",-2.872,0.67,-4.158,-1.653,0.006,0.01,14095.0,5151.0,1.0
"beta_dist[Thomas, Rhylan]",-2.925,0.672,-4.183,-1.659,0.006,0.009,14005.0,5126.0,1.0
"beta_dist[Tolbert, Tyler]",-2.928,0.618,-4.034,-1.684,0.005,0.009,15462.0,5047.0,1.0
"beta_dist[Trammell, Taylor]",-2.651,0.532,-3.626,-1.615,0.005,0.007,12655.0,5810.0,1.0
"beta_dist[Veen, Zac]",-2.949,0.585,-4.08,-1.865,0.005,0.007,14818.0,5147.0,1.0
"beta_dist[Verdugo, Alex]",-2.778,0.415,-3.552,-2.015,0.004,0.005,13121.0,6080.0,1.0
"beta_dist[Vierling, Matt]",-2.919,0.653,-4.119,-1.664,0.005,0.009,14499.0,5858.0,1.0
"beta_dist[Vilade, Ryan]",-3.017,0.633,-4.164,-1.779,0.005,0.008,13497.0,5847.0,1.0
"beta_dist[Wade, Tyler]",-2.664,0.618,-3.85,-1.531,0.005,0.009,13512.0,4993.0,1.0
"beta_dist[Wade Jr., LaMonte]",-2.805,0.677,-4.027,-1.506,0.006,0.009,12562.0,5107.0,1.0
"beta_dist[Wagaman, Eric]",-2.861,0.553,-3.915,-1.871,0.005,0.007,13982.0,5606.0,1.0
"beta_dist[Ward, Taylor]",-2.876,0.286,-3.407,-2.348,0.003,0.003,9673.0,6151.0,1.0
"beta_dist[Waters, Drew]",-1.755,0.436,-2.603,-0.972,0.004,0.005,12735.0,6527.0,1.0
"beta_dist[Whitcomb, Shay]",-2.448,0.624,-3.701,-1.349,0.005,0.008,15607.0,5204.0,1.0
"beta_dist[White, Eli]",-3.079,0.538,-4.13,-2.081,0.005,0.007,11771.0,5363.0,1.0
"beta_dist[Wiemer, Joey]",-2.876,0.68,-4.119,-1.565,0.006,0.01,13757.0,5075.0,1.0
"beta_dist[Wilson, Weston]",-0.452,0.193,-0.845,-0.114,0.002,0.003,11954.0,5528.0,1.0
"beta_dist[Winker, Jesse]",-3.129,0.688,-4.432,-1.884,0.006,0.009,13197.0,5460.0,1.0
"beta_dist[Wood, James]",-3.189,0.362,-3.866,-2.507,0.003,0.004,11377.0,6230.0,1.0
"beta_dist[Yastrzemski, Mike]",-2.453,0.643,-3.779,-1.353,0.005,0.009,14846.0,5125.0,1.0
"beta_dist[Yelich, Christian]",-3.054,0.538,-4.031,-2.021,0.005,0.007,14163.0,5399.0,1.0
"beta_dist[Yoshida, Masataka]",-2.364,0.63,-3.554,-1.169,0.005,0.008,14658.0,5481.0,1.0
"beta_dist[Young, Jared]",-2.854,0.676,-4.116,-1.604,0.006,0.009,12679.0,5609.0,1.0
"beta_time[Alcántara, Kevin]",4.102,0.623,2.915,5.304,0.006,0.009,12234.0,5028.0,1.0
"beta_time[Alexander, Blaze]",4.043,0.598,2.931,5.181,0.005,0.008,13124.0,5237.0,1.0
"beta_time[Alexander, CJ]",4.161,0.621,2.96,5.297,0.006,0.009,10854.0,5584.0,1.0
"beta_time[Allen, Greg]",4.107,0.618,2.946,5.296,0.006,0.01,12999.0,4512.0,1.0
"beta_time[Altuve, Jose]",4.665,0.524,3.74,5.718,0.008,0.006,4737.0,4882.0,1.0
"beta_time[Alvarez, Yordan]",4.091,0.536,3.131,5.162,0.005,0.008,12436.0,5107.0,1.0
"beta_time[Andujar, Miguel]",4.279,0.459,3.43,5.136,0.005,0.005,9383.0,5424.0,1.0
"beta_time[Anthony, Roman]",3.882,0.544,2.87,4.904,0.005,0.008,12427.0,5566.0,1.0
"beta_time[Arozarena, Randy]",4.424,0.37,3.705,5.086,0.005,0.004,6370.0,5654.0,1.0
"beta_time[Avans, Drew]",4.436,0.578,3.353,5.515,0.007,0.008,6755.0,4923.0,1.0
"beta_time[Azocar, José]",3.854,0.598,2.654,4.938,0.005,0.009,12073.0,4670.0,1.0
"beta_time[Baddoo, Akil]",4.255,0.585,3.189,5.376,0.006,0.008,10063.0,4925.0,1.0
"beta_time[Bader, Harrison]",3.837,0.401,3.075,4.568,0.004,0.004,10983.0,6842.0,1.0
"beta_time[Bae, Ji Hwan]",4.334,0.593,3.27,5.487,0.007,0.008,7950.0,4363.0,1.0
"beta_time[Baldwin, Brooks]",3.778,0.469,2.929,4.669,0.004,0.006,12747.0,6030.0,1.0
"beta_time[Barrosa, Jorge]",4.059,0.544,3.028,5.087,0.005,0.009,12343.0,4617.0,1.0
"beta_time[Bauers, Jake]",4.036,0.529,3.024,5.039,0.005,0.008,13174.0,5178.0,1.0
"beta_time[Beavers, Dylan]",4.019,0.486,3.104,4.926,0.005,0.006,10811.0,5908.0,1.0
"beta_time[Beck, Jordan]",3.735,0.319,3.123,4.32,0.003,0.003,10432.0,6292.0,1.0
"beta_time[Bellinger, Cody]",4.035,0.432,3.262,4.878,0.004,0.005,9718.0,5893.0,1.0
"beta_time[Benintendi, Andrew]",3.924,0.398,3.131,4.627,0.004,0.005,11305.0,6017.0,1.0
"beta_time[Benson, Will]",3.664,0.483,2.727,4.541,0.005,0.006,9979.0,5480.0,1.0
"beta_time[Biggio, Cavan]",4.108,0.601,2.994,5.283,0.005,0.008,13527.0,5173.0,1.0
"beta_time[Blanco, Dairon]",4.271,0.582,3.157,5.359,0.006,0.008,8993.0,5800.0,1.0
"beta_time[Bleday, JJ]",4.274,0.545,3.281,5.326,0.006,0.007,8536.0,5430.0,1.0
"beta_time[Bouchard, Sean]",4.13,0.599,2.982,5.21,0.006,0.009,11049.0,5234.0,1.0
"beta_time[Brooks, Trenton]",4.125,0.594,3.0,5.231,0.005,0.008,12116.0,4686.0,1.0
"beta_time[Brown, Seth]",4.2,0.585,3.032,5.233,0.006,0.008,11549.0,5009.0,1.0
"beta_time[Bruján, Vidal]",4.019,0.602,2.942,5.232,0.005,0.009,13724.0,5183.0,1.0
"beta_time[Burleson, Alec]",4.319,0.49,3.429,5.25,0.006,0.006,7399.0,6112.0,1.0
"beta_time[Caballero, José]",4.501,0.578,3.444,5.598,0.008,0.008,5914.0,5351.0,1.0
"beta_time[Caissie, Owen]",4.337,0.578,3.246,5.419,0.006,0.008,8159.0,4882.0,1.0
"beta_time[Call, Alex]",4.535,0.472,3.682,5.429,0.007,0.006,4541.0,4729.0,1.0
"beta_time[Callihan, Tyler]",3.93,0.596,2.805,5.035,0.005,0.009,12603.0,4941.0,1.0
"beta_time[Cameron, Daz]",4.026,0.586,2.913,5.108,0.005,0.009,12815.0,4809.0,1.0
"beta_time[Campbell, Kristian]",4.123,0.611,2.98,5.289,0.005,0.009,12908.0,4648.0,1.0
"beta_time[Campero, Gustavo]",4.205,0.591,3.144,5.38,0.005,0.009,12054.0,5094.0,1.0
"beta_time[Canario, Alexander]",4.581,0.539,3.625,5.68,0.008,0.006,4423.0,4477.0,1.0
"beta_time[Canha, Mark]",4.046,0.559,3.013,5.095,0.005,0.008,13784.0,5223.0,1.0
"beta_time[Carlson, Dylan]",4.152,0.434,3.298,4.944,0.004,0.005,9459.0,6209.0,1.0
"beta_time[Carpenter, Kerry]",4.322,0.529,3.305,5.311,0.006,0.007,7240.0,4794.0,1.0
"beta_time[Castro, Willi]",3.519,0.423,2.717,4.306,0.005,0.005,7177.0,5282.0,1.0
"beta_time[Chourio, Jackson]",4.138,0.523,3.107,5.067,0.005,0.008,13051.0,5021.0,1.0
"beta_time[Church, Nathan]",4.111,0.589,2.955,5.182,0.005,0.008,13124.0,5001.0,1.0
"beta_time[Clase, Jonatan]",3.928,0.498,3.011,4.883,0.005,0.006,11594.0,6047.0,1.0
"beta_time[Clemens, Kody]",4.297,0.576,3.202,5.375,0.006,0.008,9040.0,4599.0,1.0
"beta_time[Cole, Zach]",4.327,0.601,3.221,5.487,0.007,0.009,7982.0,4741.0,1.0
"beta_time[Collins, Isaac]",3.85,0.382,3.151,4.572,0.004,0.005,11026.0,6071.0,1.0
"beta_time[Conforto, Michael]",3.783,0.353,3.134,4.466,0.004,0.004,9848.0,6116.0,1.0
"beta_time[Conine, Griffin]",4.251,0.523,3.279,5.266,0.005,0.006,10073.0,5783.0,1.0
"beta_time[Cortes, Carlos]",3.859,0.571,2.788,4.909,0.005,0.008,12431.0,5551.0,1.0
"beta_time[Cowser, Colton]",4.572,0.486,3.657,5.481,0.006,0.006,5789.0,5522.0,1.0
"beta_time[Dezenzo, Zach]",4.495,0.56,3.47,5.572,0.009,0.007,4519.0,6047.0,1.0
"beta_time[De La Cruz, Bryan]",4.233,0.547,3.195,5.247,0.005,0.008,11289.0,5399.0,1.0
"beta_time[Domínguez, Jasson]",4.465,0.414,3.723,5.256,0.005,0.005,7128.0,5493.0,1.0
"beta_time[Donovan, Brendan]",3.833,0.515,2.816,4.78,0.005,0.006,12259.0,6243.0,1.0
"beta_time[Dubón, Mauricio]",3.875,0.507,2.88,4.822,0.005,0.007,10977.0,6227.0,1.0
"beta_time[Dunn, Blake]",4.231,0.594,3.123,5.354,0.006,0.008,10598.0,5358.0,1.0
"beta_time[Duran, Ezequiel]",4.317,0.604,3.161,5.443,0.006,0.009,9258.0,3984.0,1.0
"beta_time[Duran, Jarren]",2.729,0.271,2.229,3.245,0.005,0.003,3064.0,2961.0,1.0
"beta_time[Eaton, Nate]",4.186,0.61,3.07,5.361,0.006,0.009,10620.0,4929.0,1.0
"beta_time[Encarnacion, Jerar]",4.009,0.597,2.911,5.143,0.005,0.01,11883.0,4637.0,1.0
"beta_time[Espinal, Santiago]",4.177,0.594,3.064,5.295,0.006,0.009,11636.0,4538.0,1.0
"beta_time[Fairchild, Stuart]",4.292,0.617,3.083,5.433,0.006,0.009,9837.0,4370.0,1.0
"beta_time[Fermín, José]",4.099,0.627,2.942,5.341,0.006,0.01,12831.0,4961.0,1.0
"beta_time[Fernández, Yanquiel]",3.834,0.595,2.613,4.886,0.005,0.008,13440.0,5220.0,1.0
