,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"alpha[McKinstry, Zach]",0.679,0.2,0.294,1.055,0.002,0.004,9774.0,4421.0,1.0
"alpha[McNeil, Jeff]",0.771,0.212,0.371,1.183,0.002,0.004,10649.0,4058.0,1.0
"alpha[Melendez, MJ]",0.719,0.214,0.308,1.11,0.002,0.004,12823.0,4921.0,1.0
"alpha[Melton, Jacob]",0.77,0.216,0.36,1.192,0.002,0.005,10312.0,3607.0,1.0
"alpha[Mesa Jr., Victor]",0.727,0.214,0.293,1.113,0.002,0.004,12374.0,4062.0,1.0
"alpha[Misner, Kameron]",0.787,0.211,0.388,1.188,0.002,0.003,9012.0,4316.0,1.0
"alpha[Moniak, Mickey]",0.625,0.171,0.309,0.955,0.002,0.003,5240.0,4195.0,1.0
"alpha[Moore, Dylan]",0.517,0.197,0.133,0.864,0.005,0.003,1445.0,3404.0,1.0
"alpha[Morel, Christopher]",0.746,0.214,0.32,1.132,0.002,0.004,9591.0,3496.0,1.0
"alpha[Myers, Dane]",0.626,0.198,0.228,0.974,0.003,0.003,5910.0,3716.0,1.0
"alpha[Noda, Ryan]",0.771,0.204,0.39,1.163,0.002,0.003,10314.0,4646.0,1.0
"alpha[Noel, Jhonkensy]",0.604,0.187,0.233,0.932,0.003,0.003,4323.0,4252.0,1.0
"alpha[Nootbaar, Lars]",0.895,0.203,0.513,1.27,0.005,0.003,2107.0,3993.0,1.0
"alpha[O'Hearn, Ryan]",0.562,0.192,0.173,0.89,0.004,0.003,2644.0,4658.0,1.0
"alpha[O'Neill, Tyler]",0.461,0.195,0.097,0.824,0.006,0.002,940.0,3403.0,1.0
"alpha[Osuna, Alejandro]",0.791,0.205,0.409,1.186,0.002,0.004,9930.0,3859.0,1.0
"alpha[Outman, James]",0.688,0.201,0.308,1.057,0.002,0.003,12843.0,4632.0,1.0
"alpha[Pages, Andy]",0.727,0.181,0.364,1.049,0.002,0.003,13658.0,5109.0,1.0
"alpha[Palacios, Joshua]",0.597,0.193,0.222,0.953,0.003,0.003,3626.0,4233.0,1.0
"alpha[Palacios, Richie]",0.692,0.212,0.301,1.102,0.002,0.004,11727.0,4557.0,1.0
"alpha[Pederson, Joc]",0.734,0.217,0.307,1.139,0.002,0.004,11746.0,4997.0,1.0
"alpha[Pereira, Everson]",0.722,0.22,0.287,1.123,0.002,0.004,12247.0,4435.0,1.0
"alpha[Pham, Tommy]",0.664,0.21,0.243,1.048,0.002,0.004,10595.0,3966.0,1.0
"alpha[Pillar, Kevin]",0.734,0.216,0.305,1.13,0.002,0.004,11443.0,4108.0,1.0
"alpha[Pérez, Wenceel]",0.829,0.168,0.507,1.135,0.002,0.002,4918.0,5313.0,1.0
"alpha[Raley, Luke]",0.758,0.202,0.374,1.146,0.002,0.004,9738.0,4034.0,1.0
"alpha[Rave, John]",0.769,0.193,0.406,1.126,0.002,0.003,9959.0,4295.0,1.0
"alpha[Refsnyder, Rob]",0.624,0.201,0.199,0.96,0.003,0.003,6806.0,4078.0,1.0
"alpha[Renfroe, Hunter]",0.664,0.19,0.309,1.026,0.002,0.004,10560.0,5213.0,1.0
"alpha[Rengifo, Luis]",0.755,0.219,0.344,1.166,0.002,0.005,12356.0,4384.0,1.0
"alpha[Reyes, Pablo]",0.751,0.214,0.345,1.156,0.002,0.005,10238.0,3577.0,1.0
"alpha[Reynolds, Bryan]",0.696,0.147,0.409,0.966,0.001,0.002,11296.0,5784.0,1.0
"alpha[Rivas, Leo]",0.691,0.221,0.264,1.097,0.002,0.004,10878.0,3755.0,1.0
"alpha[Robertson, Will]",0.682,0.204,0.295,1.078,0.002,0.003,8856.0,4511.0,1.0
"alpha[Robles, Victor]",0.711,0.189,0.348,1.068,0.002,0.003,11767.0,4695.0,1.0
"alpha[Roden, Alan]",0.755,0.193,0.394,1.136,0.002,0.004,10501.0,3742.0,1.0
"alpha[Rodríguez, Johnathan]",0.63,0.195,0.252,0.992,0.003,0.003,5816.0,4345.0,1.0
"alpha[Rooker, Brent]",0.584,0.201,0.183,0.941,0.004,0.003,2657.0,3617.0,1.0
"alpha[Rosario, Amed]",0.687,0.219,0.291,1.126,0.002,0.004,9928.0,4291.0,1.0
"alpha[Rosario, Eddie]",0.76,0.216,0.371,1.195,0.002,0.004,8792.0,4550.0,1.0
"alpha[Ruiz, Esteury]",0.718,0.215,0.295,1.116,0.002,0.004,12458.0,4559.0,1.0
"alpha[Santander, Anthony]",0.791,0.208,0.405,1.206,0.002,0.004,9280.0,3643.0,1.0
"alpha[Schneemann, Daniel]",0.8,0.206,0.416,1.197,0.002,0.004,7679.0,4417.0,1.0
"alpha[Scott II, Victor]",0.753,0.215,0.331,1.152,0.002,0.004,12056.0,4025.0,1.0
"alpha[Simon, Ronny]",0.707,0.212,0.307,1.109,0.002,0.004,13105.0,4898.0,1.0
"alpha[Simpson, Chandler]",0.721,0.218,0.31,1.148,0.002,0.004,10575.0,4429.0,1.0
"alpha[Slater, Austin]",0.776,0.182,0.424,1.114,0.002,0.003,7243.0,4849.0,1.0
"alpha[Smith, Cam]",0.997,0.16,0.71,1.307,0.005,0.002,1024.0,3839.0,1.0
"alpha[Smith, Josh]",0.74,0.211,0.332,1.147,0.002,0.004,12065.0,4911.0,1.0
"alpha[Sogard, Nick]",0.717,0.214,0.294,1.117,0.002,0.004,11415.0,4144.0,1.0
"alpha[Soler, Jorge]",0.652,0.193,0.272,1.006,0.002,0.003,7573.0,4476.0,1.0
"alpha[Soto, Juan]",0.531,0.153,0.25,0.823,0.003,0.002,1963.0,4112.0,1.0
"alpha[Springer, George]",0.631,0.191,0.258,0.977,0.002,0.003,6679.0,4227.0,1.0
"alpha[Stanton, Giancarlo]",0.698,0.205,0.296,1.067,0.002,0.004,8315.0,4271.0,1.0
"alpha[Stowers, Kyle]",0.731,0.186,0.365,1.077,0.002,0.003,11131.0,5162.0,1.0
"alpha[Straw, Myles]",0.681,0.207,0.28,1.059,0.002,0.004,9333.0,4333.0,1.0
"alpha[Suwinski, Jack]",0.771,0.203,0.379,1.16,0.002,0.004,10244.0,3780.0,1.0
"alpha[Suzuki, Seiya]",0.699,0.186,0.339,1.045,0.002,0.003,9862.0,5040.0,1.0
"alpha[Sánchez, Jesús]",0.736,0.134,0.486,0.991,0.001,0.002,12684.0,5448.0,1.0
"alpha[Tatis Jr., Fernando]",0.847,0.137,0.591,1.106,0.002,0.002,4342.0,4647.0,1.0
"alpha[Tauchman, Mike]",0.815,0.172,0.497,1.148,0.002,0.002,5372.0,5385.0,1.0
"alpha[Taveras, Leody]",0.824,0.191,0.469,1.191,0.003,0.003,5601.0,4020.0,1.0
