,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"beta_dist[Kreidler, Ryan]",-2.243,0.42,-3.05,-1.476,0.004,0.005,9367.0,5380.0,1.0
"beta_dist[Langford, Wyatt]",-2.453,0.361,-3.109,-1.757,0.004,0.004,8794.0,5412.0,1.0
"beta_dist[Laureano, Ramón]",-2.687,0.469,-3.542,-1.777,0.005,0.006,9969.0,5379.0,1.0
"beta_dist[Lee, Jung Hoo]",-2.372,0.235,-2.814,-1.94,0.003,0.003,8084.0,6035.0,1.0
"beta_dist[Lockridge, Brandon]",-2.521,0.391,-3.205,-1.743,0.004,0.005,8607.0,5681.0,1.0
"beta_dist[Lugo, Matthew]",-2.841,0.465,-3.751,-1.973,0.005,0.007,8833.0,4785.0,1.0
"beta_dist[Lukes, Nathan]",-2.907,0.407,-3.684,-2.161,0.005,0.005,7369.0,5030.0,1.0
"beta_dist[Mangum, Jake]",-2.903,0.395,-3.614,-2.143,0.004,0.006,7851.0,4854.0,1.0
"beta_dist[Marsee, Jakob]",-2.84,0.373,-3.54,-2.142,0.004,0.004,7836.0,4858.0,1.0
"beta_dist[Marsh, Brandon]",-2.702,0.307,-3.263,-2.122,0.004,0.003,6863.0,5243.0,1.0
"beta_dist[Marte, Noelvi]",-2.646,0.505,-3.62,-1.716,0.005,0.007,9508.0,5310.0,1.0
"beta_dist[Martin, Austin]",-2.483,0.451,-3.349,-1.662,0.005,0.006,10019.0,5778.0,1.0
"beta_dist[Martínez, Angel]",-2.821,0.298,-3.394,-2.29,0.003,0.003,8852.0,6306.0,1.0
"beta_dist[Mateo, Jorge]",-2.749,0.475,-3.633,-1.855,0.005,0.007,10440.0,5124.0,1.0
"beta_dist[Matos, Luis]",-2.823,0.495,-3.764,-1.908,0.006,0.007,8073.0,5119.0,1.0
"beta_dist[McCarthy, Jake]",-2.605,0.439,-3.426,-1.777,0.005,0.006,9439.0,4949.0,1.0
"beta_dist[McCormick, Chas]",-2.031,0.384,-2.761,-1.33,0.005,0.004,7051.0,5703.0,1.0
"beta_dist[McNeil, Jeff]",-2.241,0.368,-2.924,-1.552,0.004,0.004,8448.0,5889.0,1.0
"beta_dist[Meadows, Parker]",-2.178,0.302,-2.746,-1.616,0.004,0.004,7233.0,5358.0,1.0
"beta_dist[Melton, Jacob]",-2.918,0.439,-3.734,-2.09,0.005,0.005,7500.0,5840.0,1.0
"beta_dist[Merrill, Jackson]",-2.959,0.277,-3.499,-2.455,0.004,0.003,5534.0,6058.0,1.0
"beta_dist[Mesa Jr., Victor]",-2.693,0.491,-3.631,-1.796,0.005,0.007,8277.0,4896.0,1.0
"beta_dist[Meyers, Jake]",-2.597,0.276,-3.122,-2.084,0.003,0.003,7332.0,6003.0,1.0
"beta_dist[Misner, Kameron]",-3.042,0.38,-3.756,-2.337,0.005,0.005,5973.0,5621.0,1.0
"beta_dist[Mitchell, Garrett]",-2.743,0.4,-3.491,-1.978,0.004,0.005,8597.0,5707.0,1.0
"beta_dist[Moniak, Mickey]",-2.94,0.371,-3.656,-2.262,0.005,0.004,6480.0,5827.0,1.0
"beta_dist[Mullins, Cedric]",-2.958,0.22,-3.374,-2.548,0.003,0.002,6367.0,5715.0,1.0
"beta_dist[Myers, Dane]",-2.872,0.324,-3.491,-2.269,0.004,0.004,6549.0,5924.0,1.0
"beta_dist[Nimmo, Brandon]",-2.804,0.484,-3.773,-1.918,0.005,0.006,7813.0,4896.0,1.0
"beta_dist[Nootbaar, Lars]",-2.748,0.42,-3.545,-1.979,0.005,0.005,8374.0,5714.0,1.0
"beta_dist[Nuñez, Nasim]",-2.744,0.495,-3.675,-1.793,0.005,0.006,9059.0,5013.0,1.0
"beta_dist[Ornelas, Tirso]",-2.702,0.513,-3.647,-1.712,0.005,0.008,10183.0,5481.0,1.0
"beta_dist[Osuna, Alejandro]",-2.702,0.502,-3.725,-1.823,0.005,0.007,9170.0,5772.0,1.0
"beta_dist[Outman, James]",-3.366,0.413,-4.108,-2.581,0.006,0.005,4241.0,4416.0,1.0
"beta_dist[Pages, Andy]",-2.754,0.276,-3.274,-2.241,0.003,0.003,8340.0,6401.0,1.0
"beta_dist[Paris, Kyren]",-2.397,0.419,-3.135,-1.556,0.004,0.005,9541.0,5394.0,1.0
"beta_dist[Pereira, Everson]",-2.873,0.476,-3.775,-1.989,0.005,0.006,8376.0,5716.0,1.0
"beta_dist[Perkins, Blake]",-2.619,0.351,-3.296,-1.977,0.004,0.004,10069.0,5772.0,1.0
"beta_dist[Peters, Tristan]",-2.722,0.474,-3.624,-1.844,0.005,0.006,7881.0,5224.0,1.0
"beta_dist[Pillar, Kevin]",-2.791,0.487,-3.783,-1.944,0.005,0.007,9738.0,5321.0,1.0
"beta_dist[Pérez, Wenceel]",-2.56,0.42,-3.307,-1.743,0.004,0.005,9426.0,6074.0,1.0
"beta_dist[Rafaela, Ceddanne]",-3.015,0.267,-3.522,-2.522,0.003,0.003,5917.0,5921.0,1.0
"beta_dist[Raley, Luke]",-2.708,0.503,-3.669,-1.773,0.005,0.007,8999.0,5422.0,1.0
"beta_dist[Rave, John]",-2.557,0.419,-3.35,-1.76,0.004,0.005,9601.0,5972.0,1.0
"beta_dist[Robert Jr., Luis]",-2.862,0.276,-3.377,-2.343,0.004,0.003,5988.0,5156.0,1.0
"beta_dist[Robles, Victor]",-2.702,0.488,-3.614,-1.774,0.005,0.007,9429.0,5107.0,1.0
"beta_dist[Roden, Alan]",-2.721,0.482,-3.666,-1.867,0.005,0.006,9723.0,5861.0,1.0
"beta_dist[Rodríguez, Julio]",-2.672,0.243,-3.134,-2.225,0.003,0.003,7707.0,5770.0,1.0
"beta_dist[Rojas, Johan]",-2.434,0.327,-3.068,-1.84,0.003,0.004,9819.0,6332.0,1.0
"beta_dist[Sanoja, Javier]",-2.612,0.459,-3.488,-1.751,0.005,0.006,10027.0,5662.0,1.0
"beta_dist[Schneemann, Daniel]",-2.843,0.434,-3.684,-2.067,0.005,0.006,7783.0,5750.0,1.0
"beta_dist[Schuemann, Max]",-2.777,0.488,-3.708,-1.86,0.005,0.007,8990.0,4918.0,1.0
"beta_dist[Scott II, Victor]",-2.105,0.229,-2.525,-1.672,0.003,0.003,7825.0,6055.0,1.0
"beta_dist[Siani, Michael]",-2.88,0.468,-3.777,-2.014,0.005,0.006,7713.0,4833.0,1.0
"beta_dist[Simpson, Chandler]",-2.921,0.353,-3.599,-2.273,0.004,0.004,7203.0,5644.0,1.0
"beta_dist[Siri, Jose]",-2.772,0.445,-3.642,-1.965,0.004,0.005,9805.0,6102.0,1.0
"beta_dist[Smith, Josh]",-2.691,0.497,-3.653,-1.773,0.005,0.007,8702.0,5464.0,1.0
"beta_dist[Springer, George]",-2.81,0.484,-3.715,-1.877,0.005,0.006,8901.0,5351.0,1.0
"beta_dist[Stevenson, Cal]",-2.657,0.479,-3.572,-1.776,0.005,0.006,9162.0,5516.0,1.0
"beta_dist[Stowers, Kyle]",-2.812,0.468,-3.741,-1.962,0.005,0.006,9596.0,5222.0,1.0
"beta_dist[Straw, Myles]",-2.876,0.326,-3.477,-2.267,0.004,0.004,7495.0,5477.0,1.0
"beta_dist[Suwinski, Jack]",-3.119,0.417,-3.898,-2.328,0.005,0.005,6659.0,4850.0,1.0
"beta_dist[Suzuki, Seiya]",-2.76,0.492,-3.706,-1.852,0.005,0.006,9140.0,5980.0,1.0
"beta_dist[Sánchez, Jesús]",-2.586,0.464,-3.433,-1.705,0.005,0.006,9911.0,5694.0,1.0
"beta_dist[Taveras, Leody]",-3.121,0.377,-3.877,-2.453,0.005,0.004,5621.0,5371.0,1.0
"beta_dist[Tawa, Tim]",-2.587,0.404,-3.336,-1.814,0.004,0.005,8977.0,5419.0,1.0
"beta_dist[Taylor, Chris]",-2.835,0.408,-3.579,-2.053,0.005,0.005,7612.0,4911.0,1.0
"beta_dist[Taylor, Michael A.]",-2.852,0.395,-3.619,-2.131,0.004,0.005,8671.0,5646.0,1.0
"beta_dist[Taylor, Samad]",-2.709,0.506,-3.647,-1.743,0.005,0.007,9452.0,5754.0,1.0
"beta_dist[Taylor, Tyrone]",-2.654,0.301,-3.205,-2.071,0.004,0.004,7004.0,6003.0,1.0
"beta_dist[Teodosio, Bryce]",-2.386,0.311,-3.017,-1.84,0.004,0.004,7683.0,5089.0,1.0
"beta_dist[Thomas, Alek]",-2.891,0.25,-3.354,-2.429,0.003,0.002,5281.0,6498.0,1.0
"beta_dist[Thomas, Colby]",-3.149,0.465,-4.067,-2.328,0.007,0.006,5162.0,5382.0,1.0
"beta_dist[Thomas, Lane]",-2.569,0.363,-3.221,-1.879,0.004,0.004,8928.0,5869.0,1.0
"beta_dist[Tolbert, Tyler]",-2.675,0.406,-3.434,-1.921,0.004,0.005,10096.0,6075.0,1.0
"beta_dist[Trammell, Taylor]",-2.666,0.399,-3.412,-1.934,0.004,0.005,9145.0,5862.0,1.0
"beta_dist[Varsho, Daulton]",-2.878,0.357,-3.546,-2.216,0.004,0.005,8068.0,5576.0,1.0
"beta_dist[Vierling, Matt]",-2.417,0.412,-3.179,-1.644,0.004,0.005,8447.0,5306.0,1.0
"beta_dist[Wade, Tyler]",-2.782,0.429,-3.577,-1.952,0.005,0.005,8690.0,5108.0,1.0
"beta_dist[Waters, Drew]",-2.772,0.408,-3.541,-1.987,0.005,0.006,8125.0,5343.0,1.0
"beta_dist[White, Eli]",-2.749,0.487,-3.677,-1.863,0.005,0.006,9662.0,5639.0,1.0
"beta_dist[Yastrzemski, Mike]",-2.76,0.466,-3.648,-1.929,0.005,0.006,9195.0,5506.0,1.0
"beta_dist[Young, Jacob]",-2.401,0.264,-2.892,-1.911,0.003,0.003,8738.0,6186.0,1.0
"beta_time[Acuña, Luisangel]",3.636,0.471,2.779,4.563,0.005,0.008,8736.0,4403.0,1.0
"beta_time[Adams, Jordyn]",3.711,0.461,2.844,4.577,0.005,0.008,7175.0,4596.0,1.0
"beta_time[Adell, Jo]",3.195,0.305,2.644,3.78,0.004,0.003,4591.0,5765.0,1.0
"beta_time[Alcántara, Kevin]",3.546,0.468,2.671,4.44,0.005,0.006,9194.0,5471.0,1.0
"beta_time[Alexander, Blaze]",3.554,0.457,2.673,4.393,0.005,0.007,9498.0,5295.0,1.0
"beta_time[Allen, Greg]",3.644,0.473,2.74,4.532,0.005,0.007,9105.0,5156.0,1.0
"beta_time[Avans, Drew]",3.687,0.458,2.843,4.575,0.005,0.006,7938.0,5296.0,1.0
"beta_time[Azocar, José]",3.684,0.474,2.778,4.554,0.005,0.008,9241.0,4438.0,1.0
"beta_time[Bader, Harrison]",3.161,0.258,2.652,3.624,0.004,0.003,4104.0,5552.0,1.0
"beta_time[Bae, Ji Hwan]",3.751,0.454,2.918,4.633,0.005,0.007,7240.0,4410.0,1.0
"beta_time[Baldwin, Brooks]",3.753,0.42,2.986,4.558,0.005,0.006,7868.0,3946.0,1.0
"beta_time[Barrero, José]",3.649,0.441,2.771,4.454,0.005,0.007,8523.0,4611.0,1.0
"beta_time[Barrosa, Jorge]",3.457,0.393,2.721,4.211,0.004,0.005,8539.0,5713.0,1.0
"beta_time[Beck, Jordan]",3.666,0.473,2.757,4.552,0.005,0.007,8507.0,4680.0,1.0
"beta_time[Bellinger, Cody]",3.965,0.381,3.261,4.691,0.006,0.005,4323.0,4221.0,1.0
"beta_time[Benson, Will]",3.701,0.405,2.977,4.486,0.005,0.006,7930.0,4789.0,1.0
"beta_time[Berroa, Steward]",3.636,0.464,2.787,4.547,0.005,0.007,10459.0,4580.0,1.0
"beta_time[Blanco, Dairon]",3.716,0.451,2.888,4.6,0.005,0.006,9133.0,5530.0,1.0
"beta_time[Bleday, JJ]",3.365,0.337,2.737,4.0,0.004,0.004,7554.0,5748.0,1.0
"beta_time[Brown, Seth]",3.72,0.442,2.886,4.519,0.005,0.006,8467.0,4933.0,1.0
"beta_time[Bruján, Vidal]",3.665,0.472,2.794,4.598,0.005,0.007,9365.0,4981.0,1.0
"beta_time[Butler, Lawrence]",3.797,0.344,3.167,4.448,0.004,0.004,6500.0,6033.0,1.0
"beta_time[Buxton, Byron]",3.946,0.314,3.4,4.574,0.005,0.003,4145.0,5653.0,1.0
"beta_time[Báez, Javier]",3.404,0.368,2.721,4.091,0.004,0.004,8103.0,5985.0,1.0
"beta_time[Caballero, José]",3.737,0.466,2.846,4.605,0.005,0.007,9079.0,5017.0,1.0
"beta_time[Call, Alex]",3.676,0.43,2.885,4.492,0.004,0.006,9653.0,5212.0,1.0
"beta_time[Campbell, Kristian]",3.443,0.447,2.639,4.329,0.005,0.006,9321.0,5177.0,1.0
"beta_time[Campero, Gustavo]",3.64,0.478,2.743,4.574,0.005,0.007,9249.0,5445.0,1.0
"beta_time[Canario, Alexander]",3.54,0.391,2.798,4.264,0.004,0.005,7560.0,5695.0,1.0
"beta_time[Carlson, Dylan]",3.505,0.438,2.698,4.327,0.004,0.007,9678.0,4789.0,1.0
"beta_time[Carroll, Corbin]",3.561,0.459,2.697,4.427,0.004,0.007,11811.0,4678.0,1.0
"beta_time[Carter, Evan]",3.955,0.376,3.264,4.666,0.006,0.004,4313.0,4809.0,1.0
"beta_time[Castro, Willi]",3.617,0.447,2.789,4.458,0.005,0.006,8777.0,5521.0,1.0
"beta_time[Chourio, Jackson]",3.807,0.322,3.196,4.398,0.004,0.004,6199.0,5118.0,1.0
"beta_time[Church, Nathan]",3.767,0.426,2.958,4.559,0.006,0.006,6040.0,4669.0,1.0
"beta_time[Clarke, Denzel]",3.703,0.316,3.132,4.312,0.004,0.004,6272.0,5321.0,1.0
"beta_time[Clase, Jonatan]",3.682,0.438,2.854,4.493,0.005,0.007,8615.0,4599.0,1.0
"beta_time[Cole, Zach]",3.703,0.46,2.801,4.551,0.005,0.006,7885.0,5219.0,1.0
"beta_time[Cook, Billy]",3.569,0.458,2.69,4.431,0.005,0.007,9583.0,5294.0,1.0
"beta_time[Corona, Kenedy]",3.647,0.468,2.73,4.521,0.005,0.007,9448.0,4442.0,1.0
"beta_time[Cowser, Colton]",4.297,0.407,3.567,5.091,0.009,0.005,2149.0,3986.0,1.0
"beta_time[Crews, Dylan]",3.659,0.423,2.818,4.42,0.004,0.006,9597.0,5176.0,1.0
"beta_time[Crow-Armstrong, Pete]",2.742,0.231,2.32,3.185,0.005,0.003,2530.0,2863.0,1.0
"beta_time[Cruz, Oneil]",3.764,0.285,3.218,4.293,0.003,0.003,7448.0,5818.0,1.0
"beta_time[Dean, Justin]",3.824,0.455,2.999,4.704,0.006,0.006,5658.0,5174.0,1.0
"beta_time[DeLuca, Jonny]",3.597,0.417,2.833,4.401,0.005,0.006,8223.0,5185.0,1.0
"beta_time[Doyle, Brenton]",4.221,0.3,3.666,4.792,0.006,0.003,2771.0,4698.0,1.0
"beta_time[Dubón, Mauricio]",3.157,0.422,2.368,3.945,0.006,0.005,4571.0,5512.0,1.0
"beta_time[Dunn, Blake]",3.674,0.469,2.812,4.573,0.005,0.007,9250.0,5140.0,1.0
"beta_time[Duran, Jarren]",3.301,0.37,2.63,4.017,0.004,0.004,6844.0,5716.0,1.0
"beta_time[Eaton, Nate]",3.687,0.463,2.785,4.531,0.006,0.006,7041.0,5177.0,1.0
"beta_time[Edman, Tommy]",3.857,0.404,3.126,4.619,0.005,0.005,5532.0,5040.0,1.0
"beta_time[Fairchild, Stuart]",3.517,0.47,2.615,4.422,0.005,0.007,9645.0,5372.0,1.0
"beta_time[Fletcher, Dominic]",3.567,0.45,2.734,4.448,0.005,0.006,9453.0,5231.0,1.0
"beta_time[Frelick, Sal]",3.504,0.469,2.558,4.315,0.005,0.007,9331.0,5003.0,1.0
"beta_time[Friedl, TJ]",3.874,0.285,3.342,4.413,0.004,0.003,4353.0,4897.0,1.0
"beta_time[Garcia, Maikel]",3.749,0.463,2.912,4.659,0.005,0.007,7438.0,4518.0,1.0
"beta_time[Gilbert, Drew]",3.712,0.454,2.86,4.578,0.005,0.007,9293.0,4656.0,1.0
"beta_time[Gorski, Matt]",3.611,0.46,2.738,4.466,0.005,0.007,8931.0,3980.0,1.0
"beta_time[Greene, Riley]",3.536,0.409,2.776,4.311,0.004,0.005,9108.0,5202.0,1.0
"beta_time[Grisham, Trent]",3.242,0.282,2.727,3.788,0.004,0.003,4938.0,5844.0,1.0
"beta_time[Haggerty, Sam]",3.729,0.438,2.866,4.522,0.005,0.006,8098.0,5385.0,1.0
"beta_time[Halpin, Petey]",3.748,0.469,2.865,4.623,0.005,0.007,9281.0,4842.0,1.0
"beta_time[Hampson, Garrett]",3.466,0.393,2.755,4.223,0.004,0.005,8367.0,4775.0,1.0
"beta_time[Harris, Dustin]",3.609,0.457,2.737,4.461,0.005,0.007,9107.0,4319.0,1.0
"beta_time[Harris II, Michael]",3.822,0.283,3.304,4.374,0.004,0.003,4637.0,5338.0,1.0
"beta_time[Hassell III, Robert]",3.206,0.347,2.557,3.852,0.005,0.004,5560.0,5573.0,1.0
"beta_time[Helman, Michael]",3.567,0.376,2.827,4.252,0.004,0.005,8652.0,5932.0,1.0
"beta_time[Hernández, Enrique]",3.654,0.456,2.828,4.542,0.005,0.006,10087.0,5323.0,1.0
"beta_time[Heyward, Jason]",3.658,0.466,2.82,4.584,0.005,0.007,10012.0,5110.0,1.0
"beta_time[Hicklen, Brewer]",3.744,0.453,2.916,4.633,0.005,0.006,6918.0,5077.0,1.0
"beta_time[Hill, Derek]",3.846,0.343,3.191,4.473,0.006,0.004,3198.0,5258.0,1.0
"beta_time[Hilliard, Sam]",3.833,0.442,3.052,4.723,0.006,0.006,6509.0,5211.0,1.0
"beta_time[Isbel, Kyle]",3.651,0.293,3.101,4.199,0.004,0.003,6537.0,5538.0,1.0
"beta_time[Jankowski, Travis]",3.485,0.457,2.623,4.353,0.005,0.007,8447.0,4774.0,1.0
"beta_time[Joe, Connor]",3.645,0.47,2.781,4.568,0.005,0.007,10506.0,4900.0,1.0
"beta_time[Johnson, Bryce]",3.775,0.44,2.923,4.585,0.005,0.006,7050.0,5945.0,1.0
"beta_time[Johnson, Daniel]",3.383,0.427,2.546,4.172,0.005,0.005,8469.0,5410.0,1.0
"beta_time[Jones, Nolan]",3.071,0.394,2.312,3.791,0.007,0.005,3571.0,5013.0,1.0
"beta_time[Keirsey Jr., DaShawn]",3.959,0.44,3.148,4.801,0.006,0.006,5133.0,4419.0,1.0
"beta_time[Kepler, Max]",3.647,0.464,2.774,4.522,0.005,0.007,9751.0,5707.0,1.0
"beta_time[Kim, Hyeseong]",3.67,0.441,2.878,4.539,0.005,0.006,7846.0,4900.0,1.0
"beta_time[Kingery, Scott]",3.652,0.482,2.765,4.564,0.005,0.007,9653.0,5408.0,1.0
"beta_time[Kreidler, Ryan]",3.803,0.435,3.001,4.65,0.006,0.006,5761.0,4314.0,1.0
"beta_time[Langford, Wyatt]",3.755,0.377,3.065,4.485,0.005,0.005,6792.0,5223.0,1.0
"beta_time[Laureano, Ramón]",3.903,0.418,3.135,4.701,0.005,0.006,6959.0,4736.0,1.0
"beta_time[Lee, Jung Hoo]",3.269,0.268,2.743,3.76,0.004,0.003,5200.0,5217.0,1.0
"beta_time[Lockridge, Brandon]",4.009,0.379,3.267,4.695,0.007,0.005,3104.0,4738.0,1.0
"beta_time[Lugo, Matthew]",3.516,0.421,2.731,4.318,0.005,0.005,8267.0,5242.0,1.0
"beta_time[Lukes, Nathan]",3.493,0.387,2.745,4.207,0.004,0.005,7879.0,5033.0,1.0
"beta_time[Mangum, Jake]",3.633,0.378,2.907,4.311,0.004,0.005,7473.0,5135.0,1.0
"beta_time[Marsee, Jakob]",3.475,0.354,2.836,4.164,0.004,0.004,7204.0,5832.0,1.0
"beta_time[Marsh, Brandon]",3.993,0.344,3.368,4.664,0.005,0.004,4543.0,5631.0,1.0
"beta_time[Marte, Noelvi]",3.621,0.478,2.738,4.519,0.005,0.007,9801.0,5031.0,1.0
"beta_time[Martin, Austin]",3.923,0.436,3.145,4.791,0.006,0.005,5026.0,5157.0,1.0
"beta_time[Martínez, Angel]",3.541,0.313,2.982,4.144,0.003,0.003,8732.0,5942.0,1.0
"beta_time[Mateo, Jorge]",3.526,0.439,2.649,4.314,0.005,0.006,9185.0,4988.0,1.0
"beta_time[Matos, Luis]",3.629,0.446,2.719,4.427,0.004,0.006,10059.0,4877.0,1.0
"beta_time[McCarthy, Jake]",3.812,0.42,3.052,4.632,0.005,0.005,6061.0,5262.0,1.0
"beta_time[McCormick, Chas]",3.138,0.381,2.449,3.892,0.005,0.004,5490.0,5570.0,1.0
"beta_time[McNeil, Jeff]",3.854,0.381,3.166,4.591,0.005,0.005,6167.0,5257.0,1.0
"beta_time[Meadows, Parker]",3.753,0.347,3.115,4.419,0.004,0.004,6292.0,5060.0,1.0
"beta_time[Melton, Jacob]",3.883,0.403,3.155,4.661,0.006,0.005,5082.0,4655.0,1.0
"beta_time[Merrill, Jackson]",4.175,0.332,3.574,4.804,0.006,0.003,2865.0,5409.0,1.0
"beta_time[Mesa Jr., Victor]",3.664,0.477,2.75,4.567,0.005,0.007,8930.0,5398.0,1.0
"beta_time[Meyers, Jake]",3.614,0.318,3.026,4.214,0.004,0.003,6261.0,6416.0,1.0
"beta_time[Misner, Kameron]",3.507,0.366,2.808,4.186,0.004,0.005,7750.0,5944.0,1.0
"beta_time[Mitchell, Garrett]",3.005,0.429,2.194,3.8,0.007,0.005,3881.0,4439.0,1.0
"beta_time[Moniak, Mickey]",3.927,0.373,3.22,4.624,0.006,0.004,4309.0,4338.0,1.0
"beta_time[Mullins, Cedric]",3.846,0.246,3.382,4.306,0.003,0.003,5641.0,5540.0,1.0
"beta_time[Myers, Dane]",3.91,0.343,3.291,4.57,0.005,0.004,5295.0,5426.0,1.0
"beta_time[Nimmo, Brandon]",3.615,0.466,2.732,4.492,0.005,0.008,8718.0,4896.0,1.0
"beta_time[Nootbaar, Lars]",3.723,0.407,2.962,4.492,0.005,0.006,7824.0,5871.0,1.0
"beta_time[Nuñez, Nasim]",3.579,0.451,2.717,4.424,0.005,0.006,9621.0,5416.0,1.0
"beta_time[Ornelas, Tirso]",3.651,0.481,2.744,4.555,0.005,0.007,9454.0,5394.0,1.0
"beta_time[Osuna, Alejandro]",3.643,0.468,2.752,4.529,0.005,0.006,9360.0,5665.0,1.0
"beta_time[Outman, James]",3.894,0.389,3.191,4.648,0.005,0.005,5636.0,5149.0,1.0
"beta_time[Pages, Andy]",3.668,0.301,3.119,4.247,0.004,0.003,6911.0,6189.0,1.0
"beta_time[Paris, Kyren]",3.83,0.425,3.035,4.645,0.005,0.006,6236.0,4962.0,1.0
"beta_time[Pereira, Everson]",3.516,0.437,2.683,4.329,0.005,0.006,8668.0,4887.0,1.0
"beta_time[Perkins, Blake]",3.541,0.356,2.871,4.215,0.004,0.004,9290.0,6038.0,1.0
"beta_time[Peters, Tristan]",3.753,0.457,2.916,4.611,0.005,0.007,9637.0,5030.0,1.0
"beta_time[Pillar, Kevin]",3.824,0.444,3.019,4.691,0.006,0.006,6049.0,5208.0,1.0
"beta_time[Pérez, Wenceel]",3.743,0.416,2.982,4.559,0.005,0.005,8136.0,5415.0,1.0
"beta_time[Rafaela, Ceddanne]",3.605,0.279,3.111,4.164,0.004,0.003,5821.0,5754.0,1.0
"beta_time[Raley, Luke]",3.671,0.454,2.812,4.513,0.005,0.006,8508.0,5493.0,1.0
"beta_time[Rave, John]",3.929,0.454,3.058,4.757,0.007,0.006,4739.0,3964.0,1.0
"beta_time[Robert Jr., Luis]",3.858,0.314,3.263,4.438,0.004,0.003,4903.0,5740.0,1.0
"beta_time[Robles, Victor]",3.708,0.456,2.894,4.601,0.005,0.006,9147.0,5206.0,1.0
"beta_time[Roden, Alan]",3.62,0.468,2.726,4.497,0.005,0.007,10081.0,5095.0,1.0
"beta_time[Rodríguez, Julio]",3.567,0.26,3.079,4.054,0.003,0.003,6583.0,5401.0,1.0
"beta_time[Rojas, Johan]",3.524,0.357,2.858,4.206,0.004,0.004,7610.0,4786.0,1.0
"beta_time[Sanoja, Javier]",3.714,0.429,2.878,4.522,0.005,0.006,9127.0,5539.0,1.0
"beta_time[Schneemann, Daniel]",3.198,0.415,2.404,3.98,0.005,0.005,5809.0,5406.0,1.0
"beta_time[Schuemann, Max]",3.629,0.467,2.768,4.528,0.005,0.007,8737.0,4849.0,1.0
"beta_time[Scott II, Victor]",3.639,0.284,3.112,4.181,0.004,0.003,5637.0,5842.0,1.0
"beta_time[Siani, Michael]",3.616,0.451,2.787,4.492,0.004,0.006,11344.0,5544.0,1.0
"beta_time[Simpson, Chandler]",3.696,0.35,3.028,4.326,0.004,0.004,7466.0,5340.0,1.0
"beta_time[Siri, Jose]",3.731,0.43,2.932,4.557,0.005,0.006,7838.0,5382.0,1.0
"beta_time[Smith, Josh]",3.654,0.474,2.764,4.544,0.005,0.007,9619.0,4991.0,1.0
"beta_time[Springer, George]",3.468,0.44,2.588,4.26,0.005,0.006,9425.0,5353.0,1.0
"beta_time[Stevenson, Cal]",3.722,0.445,2.88,4.564,0.005,0.006,9105.0,5640.0,1.0
"beta_time[Stowers, Kyle]",3.599,0.443,2.807,4.475,0.004,0.006,9746.0,5446.0,1.0
"beta_time[Straw, Myles]",3.485,0.334,2.869,4.114,0.004,0.004,5707.0,5433.0,1.0
"beta_time[Suwinski, Jack]",3.604,0.402,2.854,4.359,0.005,0.006,7836.0,4860.0,1.0
"beta_time[Suzuki, Seiya]",3.605,0.47,2.705,4.491,0.005,0.007,9606.0,5039.0,1.0
"beta_time[Sánchez, Jesús]",3.705,0.45,2.888,4.591,0.005,0.007,8613.0,4255.0,1.0
"beta_time[Taveras, Leody]",3.686,0.348,3.031,4.339,0.004,0.004,8318.0,5730.0,1.0
"beta_time[Tawa, Tim]",3.877,0.416,3.09,4.653,0.006,0.005,5072.0,4995.0,1.0
"beta_time[Taylor, Chris]",3.785,0.406,2.981,4.517,0.005,0.006,6649.0,5392.0,1.0
"beta_time[Taylor, Michael A.]",3.813,0.384,3.115,4.561,0.004,0.005,7852.0,4648.0,1.0
"beta_time[Taylor, Samad]",3.646,0.466,2.776,4.53,0.005,0.007,10416.0,4789.0,1.0
"beta_time[Taylor, Tyrone]",3.655,0.309,3.085,4.236,0.004,0.004,5927.0,5247.0,1.0
"beta_time[Teodosio, Bryce]",3.842,0.353,3.204,4.533,0.005,0.004,5716.0,5631.0,1.0
"beta_time[Thomas, Alek]",4.063,0.305,3.493,4.631,0.005,0.003,3703.0,5875.0,1.0
"beta_time[Thomas, Colby]",3.571,0.435,2.757,4.395,0.004,0.006,10627.0,5427.0,1.0
"beta_time[Thomas, Lane]",3.32,0.366,2.6,3.974,0.004,0.004,7113.0,5504.0,1.0
"beta_time[Tolbert, Tyler]",2.992,0.423,2.192,3.769,0.008,0.005,3179.0,4165.0,1.0
"beta_time[Trammell, Taylor]",3.751,0.409,2.992,4.523,0.005,0.005,7049.0,4700.0,1.0
"beta_time[Varsho, Daulton]",4.075,0.364,3.419,4.775,0.006,0.004,3986.0,4601.0,1.0
"beta_time[Vierling, Matt]",3.734,0.397,2.96,4.445,0.005,0.005,6245.0,4920.0,1.0
"beta_time[Wade, Tyler]",3.63,0.405,2.836,4.366,0.004,0.006,8066.0,5061.0,1.0
"beta_time[Waters, Drew]",3.855,0.413,3.086,4.643,0.006,0.005,5086.0,5227.0,1.0
"beta_time[White, Eli]",3.664,0.455,2.8,4.536,0.005,0.006,9748.0,5070.0,1.0
"beta_time[Yastrzemski, Mike]",3.663,0.431,2.82,4.456,0.005,0.007,8233.0,4812.0,1.0
"beta_time[Young, Jacob]",3.626,0.302,3.077,4.218,0.004,0.003,6995.0,5562.0,1.0
sigma_alpha,0.315,0.056,0.21,0.422,0.002,0.001,532.0,749.0,1.01
